hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,180,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
"The Standard, East Village",#161 of 479 Hotels in New York City,218,4 Star Hotel,25 Cooper Sq,"New York City, NY 10003-7107",768 reviews,45,"['All reviews', 'the penthouse', 'astor place', 'cooper square', 'corner king room', 'standard highline', 'new york', 'floor to ceiling windows', 'hip hotel', 'the high line', 'every staff member', 'the entire staff', 'lower east side', 'high floor', 'rooms are small', 'mini bar', 'loved this hotel', 'an upgrade']"
Holiday Inn Express Manhattan Times Square South,#233 of 479 Hotels in New York City,135,3 Star Hotel,60 West 36th Street & 6th Ave,"New York City, NY 10018-8039","1,283 reviews",45,"['All reviews', 'the empire state building', 'herald square', 'hi express', 'penn station', 'times square', 'great location', 'new york', 'free breakfast', 'the breakfast area', 'yogurt', 'hot breakfast', 'walking distance', 'around the corner', 'would stay here again', 'rooms are small', 'front desk staff', 'clean hotel']"
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,180,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
The Time New York,#86 of 479 Hotels in New York City,183,4 Star Hotel,224 W 49th St,"New York City, NY 10019-7405",772 reviews,45,"['All reviews', 'tv in the mirror', 'book of mormon', 'lobby ambassador', 'superior suite', 'times square', 'new york', 'serafina restaurant', 'free wine and cheese', 'the theater district', 'broadway show', 'perfect location', 'special thanks', 'around the corner', 'amazing hotel', 'boutique hotel', 'bottle of champagne', 'home away from home']"
The Gotham Hotel,#253 of 479 Hotels in New York City,279,4 Star Hotel,16 E 46th St,Between Fifth Ave and Madison Ave,920 reviews,40,"['All reviews', 'skyline room', 'small balcony', 'balcony door', 'new york', 'times square', 'boutique hotel', 'grand central station', 'small hotel', 'great boutique', 'rain shower', 'the air conditioning', 'fifth avenue', 'higher floor', 'comfy bed', 'rockefeller center', 'junior suite', 'midtown manhattan']"
The Roger,#142 of 479 Hotels in New York City,189,4 Star Hotel,131 Madison Ave,At 31st Street,"3,633 reviews",45,"['All reviews', 'new york', 'boutique hotel', 'terrace room', 'the empire state building', 'madison avenue', 'great boutique', 'wine hour', 'the penthouse', 'business trip', 'mini bar', 'enjoyed my stay', 'location was perfect', 'penn station', 'rooms are small', 'times square', 'central park', 'lobby']"
Royalton Park Avenue,#158 of 479 Hotels in New York City,230,4 Star Hotel,420 Park Avenue South,29th Street Main Entrance,"2,552 reviews",45,"['All reviews', 'rooftop pool', 'gansevoort hotel', 'exhale spa', 'grand deluxe room', 'new york', 'the empire state building', 'trendy hotel', 'hotel guests', 'amazing hotel', 'union square', 'mini bar', 'nyc hotel', 'by nyc standards', 'location was perfect', 'subway station', 'times square', 'concierge']"
The Lucerne Hotel,#170 of 479 Hotels in New York City,177,4 Star Hotel,201 West 79th Street,"New York City, NY 10024-6200","2,539 reviews",45,"['All reviews', 'upper west side', 'museum of natural history', 'central park', 'amsterdam avenue', 'nice martin', 'new york', 'lincoln center', 'queen suite', 'attached restaurant', 'great neighborhood', 'subway line', 'two blocks', 'times square', 'wonderful hotel', 'coffee maker', 'business center', 'hudson river']"
"The Bernic Hotel New York City, Tapestry Collection by Hilton",#57 of 479 Hotels in New York City,206,4 Star Hotel,145 E 47th St,"New York City, NY 10017-2007",431 reviews,45,"['All reviews', 'nespresso machine', 'heated floors', 'apple tv', 'balcony room', 'david lopez', 'front desk', 'new york', 'boutique hotel', 'small balcony', 'grand central station', 'rooftop bar', 'the general manager', 'comfortable bed', 'the penthouse', 'great shower', 'great boutique', 'a great stay']"
