hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
EVEN Hotel New York - Midtown East,#52 of 479 Hotels in New York City,219,4 Star Hotel,219 E 44th St,"New York City, NY 10017-4305",640 reviews,45,"['All reviews', 'yoga mat', 'workout equipment', 'grand central station', 'conscious hotel', 'wellness hotel', 'ping pong table', 'body wash', 'new york', 'great hotel', 'great gym', 'chrysler building', 'modern hotel', 'comfortable bed', 'hotel experience', 'great shower', 'fitness center', 'bathroom door']"
"The Standard, East Village",#161 of 479 Hotels in New York City,360,4 Star Hotel,25 Cooper Sq,"New York City, NY 10003-7107",768 reviews,45,"['All reviews', 'the penthouse', 'astor place', 'cooper square', 'corner king room', 'standard highline', 'new york', 'floor to ceiling windows', 'hip hotel', 'the high line', 'every staff member', 'the entire staff', 'lower east side', 'high floor', 'rooms are small', 'mini bar', 'loved this hotel', 'an upgrade']"
Holiday Inn Express Manhattan Times Square South,#233 of 479 Hotels in New York City,198,3 Star Hotel,60 West 36th Street & 6th Ave,"New York City, NY 10018-8039","1,283 reviews",45,"['All reviews', 'the empire state building', 'herald square', 'hi express', 'penn station', 'times square', 'great location', 'new york', 'free breakfast', 'the breakfast area', 'yogurt', 'hot breakfast', 'walking distance', 'around the corner', 'would stay here again', 'rooms are small', 'front desk staff', 'clean hotel']"
Crowne Plaza HY36 Midtown Manhattan,#29 of 479 Hotels in New York City,209,4 Star Hotel,320 W 36th St,"New York City, NY 10018-7598",432 reviews,45,"['All reviews', 'penn station', 'hudson yards', 'loved the modern decor', 'breakfast vouchers', 'times square', 'new york', 'spacious shower', 'drink vouchers', 'javits center', 'front desk staff', 'pleasure of staying', 'madison square garden', 'midtown manhattan', 'the high line', 'major attractions', 'ironing board', 'walk in shower']"
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,239,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
The Time New York,#86 of 479 Hotels in New York City,215,4 Star Hotel,224 W 49th St,"New York City, NY 10019-7405",772 reviews,45,"['All reviews', 'tv in the mirror', 'book of mormon', 'lobby ambassador', 'superior suite', 'times square', 'new york', 'serafina restaurant', 'free wine and cheese', 'the theater district', 'broadway show', 'perfect location', 'special thanks', 'around the corner', 'amazing hotel', 'boutique hotel', 'bottle of champagne', 'home away from home']"
Royalton Park Avenue,#158 of 479 Hotels in New York City,275,4 Star Hotel,420 Park Avenue South,29th Street Main Entrance,"2,552 reviews",45,"['All reviews', 'rooftop pool', 'gansevoort hotel', 'exhale spa', 'grand deluxe room', 'new york', 'the empire state building', 'trendy hotel', 'hotel guests', 'amazing hotel', 'union square', 'mini bar', 'nyc hotel', 'by nyc standards', 'location was perfect', 'subway station', 'times square', 'concierge']"
The Lucerne Hotel,#170 of 479 Hotels in New York City,202,4 Star Hotel,201 West 79th Street,"New York City, NY 10024-6200","2,539 reviews",45,"['All reviews', 'upper west side', 'museum of natural history', 'central park', 'amsterdam avenue', 'nice martin', 'new york', 'lincoln center', 'queen suite', 'attached restaurant', 'great neighborhood', 'subway line', 'two blocks', 'times square', 'wonderful hotel', 'coffee maker', 'business center', 'hudson river']"
Innside by Melia New York NoMad,#125 of 479 Hotels in New York City,219,4 Star Hotel,132 W 27th St,"New York City, NY 10001-6202","2,311 reviews",45,"['All reviews', 'nespresso machine', 'new york', 'complimentary beverages', 'great hotel', 'frosted glass', 'modern hotel', 'penn station', 'mini bar', 'view of the empire state building', 'the high line', 'walking distance', 'loved this hotel', 'madison square garden', 'nyc hotel', 'times square', 'location was perfect', 'few blocks']"
"The Bernic Hotel New York City, Tapestry Collection by Hilton",#57 of 479 Hotels in New York City,251,4 Star Hotel,145 E 47th St,"New York City, NY 10017-2007",431 reviews,45,"['All reviews', 'nespresso machine', 'heated floors', 'apple tv', 'balcony room', 'david lopez', 'front desk', 'new york', 'boutique hotel', 'small balcony', 'grand central station', 'rooftop bar', 'the general manager', 'comfortable bed', 'the penthouse', 'great shower', 'great boutique', 'a great stay']"
The Westin New York Grand Central,#247 of 479 Hotels in New York City,379,4 Star Hotel,212 East 42nd Street,Between 2nd Ave and 3rd Ave,"4,067 reviews",40,"['All reviews', 'chrysler building', 'great location', 'new york', 'heavenly bed', 'times square', 'spg member', 'corner room', 'mini bar', 'good size', 'bryant park', 'late check', 'high floor', 'two blocks', 'housekeeping staff', 'street noise', 'two double beds', 'by nyc standards']"
The Marlton Hotel,#157 of 479 Hotels in New York City,245,4 Star Hotel,5 W 8th St,"New York City, NY 10011-9099",682 reviews,45,"['All reviews', 'washington square park', 'greenwich village', 'rooms are small', 'avocado toast', 'espresso bar', 'new york', 'cozy lobby', 'modern touches', 'charming hotel', 'free continental breakfast', 'lounge area', 'hotel guests', 'appointed rooms', 'queen room', 'bars and restaurants', 'mini bar', 'great shower']"
Conrad New York,#26 of 479 Hotels in New York City,296,5 Star Hotel,102 North End Avenue,"New York City, NY 10282-1238","3,728 reviews",45,"['All reviews', 'battery park', 'hudson river', 'brookfield place', 'shake shack', 'rooftop bar', 'blue smoke', 'statue of liberty', 'lower manhattan', 'goldman sachs', 'the financial district', 'new york', 'nespresso machine', 'chambers street', 'world trade center', 'freedom tower', 'bagel shop', 'huge shower']"
Staybridge Suites Times Square - New York City,#195 of 479 Hotels in New York City,216,3 Star Hotel,340 West 40th Street,"New York City, NY 10018-1404","6,066 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'free laundry', 'new york', 'full size fridge', 'fridge freezer', 'stove top', 'bus station', 'small kitchen', 'never felt unsafe', 'the breakfast area', 'bagels', 'complimentary breakfast', 'lower floor', ""hell's kitchen"", 'few blocks']"
Cambria Hotel New York - Chelsea,#58 of 479 Hotels in New York City,183,3 Star Hotel,123 W 28th Street,"New York City, NY 10001-6120","1,096 reviews",45,"['All reviews', 'flower district', 'rooftop bar', 'penn station', 'new york', 'great hotel', 'huge tv', 'madison square garden', 'freedom tower', 'times square', 'two queen beds', 'fridge and microwave', 'walking distance', 'would definitely stay here again', 'few blocks', 'the room was nice', 'convenient location', 'the empire state building']"
The Gotham Hotel,#253 of 479 Hotels in New York City,247,4 Star Hotel,16 E 46th St,Between Fifth Ave and Madison Ave,920 reviews,40,"['All reviews', 'skyline room', 'small balcony', 'balcony door', 'new york', 'times square', 'boutique hotel', 'grand central station', 'small hotel', 'great boutique', 'rain shower', 'the air conditioning', 'fifth avenue', 'higher floor', 'comfy bed', 'rockefeller center', 'junior suite', 'midtown manhattan']"
Omni Berkshire Place,#116 of 479 Hotels in New York City,242,4 Star Hotel,21 E 52nd St,at Madison Ave,"4,370 reviews",45,"['All reviews', 'select guest', 'loyalty program', 'central park', 'great location', 'new york', 'rockefeller center', 'madison ave', ""patrick's cathedral"", 'times square', 'free wifi', 'each morning', 'concierge staff', 'turn down service', 'midtown location', 'wonderful hotel', 'by nyc standards', 'around the corner']"
Hilton Garden Inn New York/Manhattan-Chelsea,#235 of 479 Hotels in New York City,259,3 Star Hotel,121 West 28th Street,"New York City, NY 10001-6102","2,209 reviews",40,"['All reviews', 'flower district', 'penn station', 'new york', 'times square', 'microwave and fridge', 'madison square garden', 'two queen beds', 'hotel is located', 'convenient location', 'would definitely stay here again', 'business center', 'front desk staff', 'empire state building', 'few blocks', 'the high line', 'city view', 'street noise']"
NOMO SOHO Hotel,#269 of 479 Hotels in New York City,266,4 Star Hotel,9 Crosby Street,"New York City, NY 10013","1,333 reviews",40,"['All reviews', 'crosby street', 'new york', 'floor to ceiling windows', 'cool hotel', 'room service', 'brooklyn bridge', 'concierge service', 'rooms are small', 'corner room', 'lower manhattan', 'amazing hotel', 'higher floor', 'the location is perfect', 'mondrian', 'isaiah', 'nyc', 'hip']"
The Roger,#142 of 479 Hotels in New York City,269,4 Star Hotel,131 Madison Ave,At 31st Street,"3,633 reviews",45,"['All reviews', 'new york', 'boutique hotel', 'terrace room', 'the empire state building', 'madison avenue', 'great boutique', 'wine hour', 'the penthouse', 'business trip', 'mini bar', 'enjoyed my stay', 'location was perfect', 'penn station', 'rooms are small', 'times square', 'central park', 'lobby']"
Crowne Plaza Times Square Manhattan,#223 of 479 Hotels in New York City,210,4 Star Hotel,1605 Broadway,between 48th and 49th Street,"10,569 reviews",40,"['All reviews', 'times square', 'sandra esp', 'great location', 'new york', 'priority club', 'corner room', 'hudson river', 'busy hotel', 'hotel bar', 'broadway show', 'central location', 'big apple', 'two double beds', 'high floor', 'rockefeller center', 'ihg', 'concierge']"
SpringHill Suites New York Midtown Manhattan/Fifth Avenue,#185 of 479 Hotels in New York City,249,3 Star Hotel,25 W 37th St,"New York City, NY 10018-6224","1,101 reviews",45,"['All reviews', 'the empire state building', 'bryant park', 'great location', 'times square', 'the breakfast area', 'new york', 'bagels', 'free breakfast', 'frosted glass', 'herald square', 'would stay here again', 'penn station', 'bathroom door', 'front desk staff', 'few blocks', 'fifth avenue', 'midtown manhattan']"
Avalon Hotel,#180 of 479 Hotels in New York City,185,4 Star Hotel,16 East 32nd Street,"New York City, NY 10016-5402","1,872 reviews",45,"['All reviews', 'junior suite', 'the empire state building', 'new york', 'korea town', 'penn station', 'sofa bed', 'sitting area', 'free coffee', 'around the corner', 'smoking room', 'continental breakfast', 'big room', 'times square', 'mini bar', 'central location', 'beds were very comfortable', 'excellent location']"
Wolcott Hotel,#244 of 479 Hotels in New York City,195,2 Star Hotel,4 West 31st Street,Between 5th Avenue & Broadway,"2,571 reviews",40,"['All reviews', 'the empire state building', 'triple room', 'free coffee and muffins', 'new york', 'great location', 'every morning', 'dunkin donuts', 'penn station', 'times square', 'budget hotel', 'beautiful lobby', 'around the corner', 'herald square', 'central location', 'two blocks', 'midtown manhattan', 'street noise']"
Refinery Hotel,#31 of 479 Hotels in New York City,,5 Star Hotel,63 West 38th Street,"New York City, NY 10018-3818","4,637 reviews",45,"['All reviews', 'rooftop bar', 'parker quinn', 'bryant park', 'hat factory', 'the empire state building', 'cupcakes', 'new york', 'magnolia bakery', 'great hotel', 'live jazz', 'fashion district', 'boutique hotel', 'hotel guests', 'times square', 'comfortable beds', 'street noise', 'definitely stay here again']"
Courtyard by Marriott New York Manhattan/Central Park,#249 of 479 Hotels in New York City,314,3 Star Hotel,1717 Broadway,"New York City, NY 10019-5214","1,376 reviews",40,"['All reviews', 'central park', 'corner room', 'tallest hotel', 'times square', 'great location', 'fourth floor', 'new york', 'floor to ceiling windows', 'floor lounge', 'city view', 'columbus circle', 'starbucks coffee', 'rooms are small', 'carnegie hall', 'the upper floors', 'few blocks', 'lincoln center']"
Residence Inn New York Downtown Manhattan/World Trade Center Area,#77 of 479 Hotels in New York City,287,3 Star Hotel,170 Broadway,At 4 Maiden Lane Adjacent To The Gap,767 reviews,45,"['All reviews', 'maiden lane', 'wall street', 'battery park', 'fulton street subway', 'the financial district', 'executive studio', 'one world observatory', 'charging bull', 'statue of liberty', 'wtc memorial', 'free breakfast', 'new york', 'full size fridge', 'the breakfast area', 'downtown manhattan', 'freedom tower', 'stove top']"
"The Pierre, A Taj Hotel, New York",#22 of 479 Hotels in New York City,506,5 Star Hotel,2 East 61st Street at Fifth Avenue,"New York City, NY 10065","1,997 reviews",45,"['All reviews', 'elevator attendants', 'central park', 'elevator operator', 'new york', 'room service', 'elegant hotel', 'four seasons', 'five star hotel', 'fifth avenue', 'park view', 'upper east side', 'concierge desk', 'turn down service', 'bottle of champagne', 'housekeeping staff', 'the location is perfect', 'nyc hotel']"
"Mandarin Oriental, New York",#76 of 479 Hotels in New York City,895,5 Star Hotel,80 Columbus Circle at 60th Street,"New York City, NY 10023-5800","1,613 reviews",45,"['All reviews', 'columbus circle', 'lobby lounge', 'time warner center', 'central park', 'asiate restaurant', 'mo nyc', 'hudson river', 'hudson view room', 'new york', 'four seasons', 'trump hotel', 'room service', 'whole foods', 'park view', 'in room dining', 'floor to ceiling windows', 'turn down service']"
Kitano New York,#126 of 479 Hotels in New York City,449,4 Star Hotel,66 Park Ave,At 38th Street,"1,263 reviews",45,"['All reviews', 'park avenue', 'grand central station', 'jazz club', 'japanese toilet', 'heated seat', 'on a non smoking floor', 'new york', 'the empire state building', 'live jazz', 'murray hill', 'few blocks', 'quiet hotel', 'times square', 'mini bar', 'corner room', 'fifth avenue', 'street noise']"
West 57th Street by Hilton Club,#70 of 479 Hotels in New York City,737,4 Star Hotel,102 W 57th St,"New York City, NY 10019-3302","1,526 reviews",45,"['All reviews', 'carnegie hall', 'time share', 'owners lounge', 'central park', 'the russian tea room', 'grand vacation', 'sales presentation', 'great location', 'new york', 'two blocks', 'studio room', 'times square', 'lincoln center', 'within walking distance', 'columbus circle', 'the penthouse', 'home away from home']"
Holiday Inn Express Manhattan Midtown West,#275 of 479 Hotels in New York City,174,3 Star Hotel,538 W 48th St,"New York City, NY 10036-1102","1,207 reviews",40,"['All reviews', ""hell's kitchen"", 'times square', 'hi express', 'new york', 'the breakfast area', 'west side', 'minute walk', 'free breakfast', 'the nearest subway station', 'yogurt', 'few blocks', 'hot breakfast', 'rooms are small', 'breakfast staff', 'hotel is located', 'each morning', 'would stay again']"
Hilton Times Square,#119 of 479 Hotels in New York City,256,4 Star Hotel,234 West 42nd Street,"New York City, NY 10036-7215","7,500 reviews",45,"['All reviews', 'times square', 'raquel ortiz', 'great location', 'new york', 'street entrance', 'the empire state building', 'diamond member', 'freedom tower', 'corner room', 'port authority', 'hudson river', 'high floor', 'room was large', 'statue of liberty', 'subway station', 'the theater district', 'big apple']"
The Sherry-Netherland Hotel,#11 of 479 Hotels in New York City,359,4 Star Hotel,781 Fifth Avenue,At 59th Street,761 reviews,50,"['All reviews', 'harry cipriani', 'central park', 'elevator operator', 'cipriani restaurant', 'city view suite', 'apple store', 'elevator attendants', 'new york', 'plaza hotel', 'fifth avenue', 'room service', 'interior room', 'home away from home', 'beautiful hotel', 'upper east side', 'beautiful room', 'hotel guests']"
NYLO New York City,#188 of 479 Hotels in New York City,240,4 Star Hotel,2178 Broadway,at W 77th Street,"6,258 reviews",40,"['All reviews', 'upper west side', 'central park', 'red farm', 'serafina restaurant', 'great location', 'beacon theater', 'new york', 'museum of natural history', 'lobby bar', 'lincoln center', 'two blocks', 'comfortable bed', 'hudson river', 'nyc hotel', 'subway station', 'rooms are small', 'times square']"
Hampton Inn Manhattan-Chelsea,#152 of 479 Hotels in New York City,169,3 Star Hotel,108 West 24th Street,"New York City, NY 10011-1902","2,086 reviews",45,"['All reviews', 'whole foods', 'great location', 'free breakfast', 'new york', 'flatiron building', 'madison square park', 'front desk staff', 'bagels', 'the breakfast area', 'the high line', 'two queen beds', 'fresh fruit', 'around the corner', 'city view', 'within walking distance', 'times square', 'penn station']"
EVEN Hotel New York - Midtown East,#52 of 479 Hotels in New York City,219,4 Star Hotel,219 E 44th St,"New York City, NY 10017-4305",640 reviews,45,"['All reviews', 'yoga mat', 'workout equipment', 'grand central station', 'conscious hotel', 'wellness hotel', 'ping pong table', 'body wash', 'new york', 'great hotel', 'great gym', 'chrysler building', 'modern hotel', 'comfortable bed', 'hotel experience', 'great shower', 'fitness center', 'bathroom door']"
